model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1,f_1,0,0,-453.09687072823164,6.7672236736694344,9.04782978771497,0.3281735163634409,906.1937414564633,13.534447347338869
1 + FA,f_4,-0.6194049314344081,0.9544234022266053,-453.7162756596658,6.935340985638435,10.098862665596537,0.3666224017851207,907.4325513193317,13.87068197127687
1 + resp_expec,f_2,-1.8797662407527493,0.7162499764405362,-454.9766369689843,6.789475951363853,11.104012207161528,0.4196305604975794,909.9532739379686,13.578951902727706
1 + cs(resp_expec),f_3,-7.94399651509185,6.247160405791024,-461.0408672433235,9.72244429933518,29.66817620624594,2.5965164883832763,922.081734486647,19.44488859867036
1 + cs(resp_expec) + FA,f_5,-8.641612458854073,6.374772652720974,-461.73848318708565,9.890690230530556,30.875142684987985,2.7059244013170605,923.4769663741713,19.78138046106111
