model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1 + responses,f_2,0,0,-404.0474525417465,14.674716925167921,9.477719127489985,1.1047459553907313,808.094905083493,29.349433850335842
1 + responses + TP,f_3,-0.4924837436001557,1.1279792653678118,-404.5399362853456,14.708026157717324,10.548468386406382,1.1623013502659887,809.0798725706912,29.416052315434648
1 + responses + FA,f_4,-0.7897856463723567,0.9518805206779625,-404.837238188117,14.734402805862324,10.631674194699043,1.1810011746472635,809.674476376234,29.468805611724648
1 + responses + TP * FA,f_5,-2.131169589158038,1.5541214273281208,-406.1786221309017,14.804221674172396,12.645891806358106,1.2390787804844203,812.3572442618034,29.608443348344792
1,f_1,-17.53592186315829,7.411572116344304,-421.5833744048989,13.656963167141738,0.9734634605987189,0.04301870359337556,843.1667488097978,27.313926334283476
