model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
0 + responses + TP + corr_response,f_4,0,0,-205.86364542828514,27.81982321932902,7.052879858401472,1.045182140090176,411.7272908565703,55.63964643865804
0 + responses + corr_response,f_3,-9.99984201357996,4.468273792370014,-215.86348744186506,25.529387349445212,6.1842945626111145,0.8904963551106001,431.7269748837301,51.058774698890424
0 + responses,f_2,-318.6569080830887,31.712929795273645,-524.5205535113696,26.38041739860538,10.059173151000737,1.4704673695600763,1049.0411070227392,52.76083479721076
1,f_1,-381.5586927423195,31.50303445015216,-587.4223381706056,27.957293444072594,1.03514310212541,0.0648018506537195,1174.8446763412112,55.91458688814519
