model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1 + responses + TP + corr_response,f_4,0,0,-258.3539085324538,28.619365839264074,5.701561650920497,0.5526439525445439,516.7078170649075,57.23873167852815
1 + responses + corr_response,f_3,-6.335177611398457,2.696105598294187,-264.6890861438514,27.569903463763616,5.276060719112878,0.4965826315551196,529.3781722877028,55.13980692752723
1 + responses + FA + corr_response,f_5,-7.040633435898762,2.726688880906008,-265.3945419683506,27.601333911320996,5.977406381142075,0.5449263716243598,530.7890839367012,55.20266782264199
1 + responses,f_2,-325.4944623343099,33.02484184699475,-583.8483708667666,28.18110927921347,9.251617644871617,0.6675661279718172,1167.6967417335331,56.36221855842694
1,f_1,-340.67202190776885,30.459389052350307,-599.0259304402202,28.1491322756191,1.0250880369316295,0.06335161638439632,1198.0518608804405,56.2982645512382
