acc,L1eng,conf,lineup,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0,0,0,NA,1,0,0,7.371698567363088,0.1963606719462864,7.017114024469916,7.8876490981656335
0,1,0,NA,1,0,1,7.78043246583037,0.27088028913823753,7.256625893699407,8.208199258437533
0.010101010101010102,0,0,NA,1,0.010101010101010102,0,7.374746552506774,0.19757229912193394,7.02050962912269,7.892772572692538
0.010101010101010102,1,0,NA,1,0.010101010101010102,1,7.787022406145396,0.26855578121783513,7.261986545757666,8.21093967578809
0.020202020202020204,0,0,NA,1,0.020202020202020204,0,7.377622446095458,0.19791444555463303,7.023132752465921,7.89566247070261
0.020202020202020204,1,0,NA,1,0.020202020202020204,1,7.795037340674154,0.26543374306529777,7.267810414841389,8.21355616306345
0.030303030303030304,0,0,NA,1,0.030303030303030304,0,7.381318197468792,0.1992865815099828,7.0256107337022025,7.899483139682291
0.030303030303030304,1,0,NA,1,0.030303030303030304,1,7.802392045253999,0.26287112249570105,7.271321972779852,8.215438111462312
0.04040404040404041,0,0,NA,1,0.04040404040404041,0,7.384826690194139,0.19995778084507473,7.027005383792481,7.904392332134735
0.04040404040404041,1,0,NA,1,0.04040404040404041,1,7.8090936547857455,0.2609458533887391,7.274524842047533,8.218557524543083
0.05050505050505051,0,0,NA,1,0.05050505050505051,0,7.388522720522252,0.20082269014858295,7.029637409931849,7.907458322716464
0.05050505050505051,1,0,NA,1,0.05050505050505051,1,7.815990421687282,0.2588774672490327,7.281036545707952,8.22180430104028
0.06060606060606061,0,0,NA,1,0.06060606060606061,0,7.391542388102988,0.20156748770714028,7.031319257746966,7.913146382409909
0.06060606060606061,1,0,NA,1,0.06060606060606061,1,7.8232381922245535,0.2561756095066885,7.285810894860364,8.22634029058724
0.07070707070707072,0,0,NA,1,0.07070707070707072,0,7.394785635196667,0.20195769808868994,7.034628922427392,7.920476868412723
0.07070707070707072,1,0,NA,1,0.07070707070707072,1,7.829341315331759,0.2555180114615188,7.289542486331421,8.229862863101244
0.08080808080808081,0,0,NA,1,0.08080808080808081,0,7.3977103132112605,0.2031181395337032,7.03686830834338,7.92464809190417
0.08080808080808081,1,0,NA,1,0.08080808080808081,1,7.835269137480461,0.2535139066561565,7.295741009119236,8.232888112351128
0.09090909090909091,0,0,NA,1,0.09090909090909091,0,7.4013512843676175,0.2039448060883957,7.039589099632093,7.929991029467835
0.09090909090909091,1,0,NA,1,0.09090909090909091,1,7.842306821151479,0.2524706116685071,7.301148547425119,8.235691621735342
0.10101010101010102,0,0,NA,1,0.10101010101010102,0,7.40454370096611,0.20502264945952878,7.041142749510628,7.934416218013611
0.10101010101010102,1,0,NA,1,0.10101010101010102,1,7.849367896819585,0.25112242577983734,7.305285216177734,8.238839628824193
0.11111111111111112,0,0,NA,1,0.11111111111111112,0,7.408234109277604,0.20667668389222918,7.043168831319543,7.938253185623282
0.11111111111111112,1,0,NA,1,0.11111111111111112,1,7.856270156609126,0.24954946953518164,7.310100833105863,8.241980631590577
0.12121212121212122,0,0,NA,1,0.12121212121212122,0,7.412179451365018,0.2079562143798184,7.0449625857123275,7.942716638946748
0.12121212121212122,1,0,NA,1,0.12121212121212122,1,7.863070972855355,0.24809710145752256,7.3151725583475535,8.245739688141317
0.13131313131313133,0,0,NA,1,0.13131313131313133,0,7.4155815785032,0.2100065136511784,7.047272647288723,7.948646447192849
0.13131313131313133,1,0,NA,1,0.13131313131313133,1,7.869437164995537,0.2468043569549167,7.319897649177383,8.248527542632502
0.14141414141414144,0,0,NA,1,0.14141414141414144,0,7.419394131754684,0.21216128151891905,7.049214021243846,7.954937706318923
0.14141414141414144,1,0,NA,1,0.14141414141414144,1,7.875728776412187,0.2446343832737396,7.323499822851756,8.251201904047596
0.15151515151515152,0,0,NA,1,0.15151515151515152,0,7.422943135279569,0.21381345442216232,7.051280941572904,7.960040015820942
0.15151515151515152,1,0,NA,1,0.15151515151515152,1,7.88233338164591,0.24324991057037415,7.328009238055059,8.253746570456439
0.16161616161616163,0,0,NA,1,0.16161616161616163,0,7.426540148665927,0.216213692875898,7.053552796748319,7.965283631486001
0.16161616161616163,1,0,NA,1,0.16161616161616163,1,7.888396211850764,0.24150882947435803,7.332155312018342,8.258153417848675
0.17171717171717174,0,0,NA,1,0.17171717171717174,0,7.430794765203739,0.21861394060271938,7.055416436759515,7.96968352786741
0.17171717171717174,1,0,NA,1,0.17171717171717174,1,7.894450785514593,0.23967028736633744,7.33805078971954,8.261895420248832
0.18181818181818182,0,0,NA,1,0.18181818181818182,0,7.435032547807177,0.22022506572159242,7.057782099812014,7.975196095392728
0.18181818181818182,1,0,NA,1,0.18181818181818182,1,7.900425379041595,0.23827311783035698,7.341903965685034,8.265807761858397
0.19191919191919193,0,0,NA,1,0.19191919191919193,0,7.439386901063149,0.22273556847506423,7.0596711968131,7.982116101193314
0.19191919191919193,1,0,NA,1,0.19191919191919193,1,7.905369855743839,0.23661976442504074,7.345734471183266,8.26925938594822
0.20202020202020204,0,0,NA,1,0.20202020202020204,0,7.44345138276185,0.22533945345077186,7.0613201917074315,7.989544591620558
0.20202020202020204,1,0,NA,1,0.20202020202020204,1,7.9106083816031845,0.23489356518344684,7.349534276563715,8.272586359664809
0.21212121212121213,0,0,NA,1,0.21212121212121213,0,7.447955169480473,0.22730779865231515,7.063093232792132,7.996848945661527
0.21212121212121213,1,0,NA,1,0.21212121212121213,1,7.916471220100895,0.23313244765328028,7.354458706184916,8.276443961244754
