model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1 + resp_expec,f_2,0,0,-454.9766369689843,6.789475951363853,11.104012207161528,0.4196305604975794,909.9532739379686,13.578951902727706
1 + cs(resp_expec),f_3,-6.064230274339101,6.121281039756292,-461.0408672433235,9.72244429933518,29.66817620624594,2.5965164883832763,922.081734486647,19.44488859867036
1 + cs(resp_expec) + FA,f_5,-6.761846218101324,6.260776300349768,-461.73848318708565,9.890690230530556,30.875142684987985,2.7059244013170605,923.4769663741713,19.78138046106111
