model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1 + cs(resp_expec),f_3,0,0,-403.5223801651656,11.34947958722551,25.451331972757416,2.8269864094473816,807.0447603303312,22.69895917445102
1 + resp_expec,f_2,-0.14031047844473932,5.406392917437375,-403.66269064361023,10.291216352472285,11.342026971199683,1.1559595888946153,807.3253812872205,20.58243270494457
1 + cs(resp_expec) + FA,f_5,-0.2339451428045507,1.4365639738618396,-403.7563253079699,11.403402806102823,26.531386934024045,2.844924919403589,807.5126506159398,22.806805612205647
