acc,COND,conf,COND2,lineup,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0,absent_sequential_no warning,0,NA,NA,1,0,absent_sequential_no warning,7.927343045487751,0.24976269029462492,7.3991576472805285,8.359608188682264
0,absent_sequential_warning,0,NA,NA,1,0,absent_sequential_warning,7.9879167491243255,0.3025466284108539,7.31539867850257,8.489682517227708
0,absent_serial_no warning,0,NA,NA,1,0,absent_serial_no warning,7.8740607854574565,0.3435737802705158,7.220997869398701,8.409531426630194
0,absent_serial_warning,0,NA,NA,1,0,absent_serial_warning,7.745130920250006,0.3520883978869257,7.112776959336162,8.345170168462426
0,present_sequential_no warning,0,NA,NA,1,0,present_sequential_no warning,8.003050748093074,0.3213467888890337,7.274940940719724,8.529123609452219
0,present_sequential_warning,0,NA,NA,1,0,present_sequential_warning,8.056395725999522,0.3010543082693273,7.352045333622082,8.554318127446898
0,present_serial_no warning,0,NA,NA,1,0,present_serial_no warning,7.854901179544871,0.36375763371980735,7.148985148230067,8.434751420890358
0,present_serial_warning,0,NA,NA,1,0,present_serial_warning,7.515650121717405,0.3369209457332152,6.928056972563753,8.202492527784427
0.010101010101010102,absent_sequential_no warning,0,NA,NA,1,0.010101010101010102,absent_sequential_no warning,7.93050267011104,0.2490156297379729,7.4032334702248885,8.360835806302877
0.010101010101010102,absent_sequential_warning,0,NA,NA,1,0.010101010101010102,absent_sequential_warning,7.990053874064014,0.3021535095133539,7.316819276520274,8.48985631169061
0.010101010101010102,absent_serial_no warning,0,NA,NA,1,0.010101010101010102,absent_serial_no warning,7.877387594053516,0.3416572076298842,7.22363927406154,8.41073094177975
0.010101010101010102,absent_serial_warning,0,NA,NA,1,0.010101010101010102,absent_serial_warning,7.746331720735382,0.35216246521835987,7.114029068631316,8.34632332631696
0.010101010101010102,present_sequential_no warning,0,NA,NA,1,0.010101010101010102,present_sequential_no warning,8.00478865818799,0.3202245885170766,7.2762234831309645,8.529337417981367
0.010101010101010102,present_sequential_warning,0,NA,NA,1,0.010101010101010102,present_sequential_warning,8.05934080652338,0.29871511618925617,7.355969788654734,8.5558176454281
0.010101010101010102,present_serial_no warning,0,NA,NA,1,0.010101010101010102,present_serial_no warning,7.8575369372966115,0.3624941413091275,7.15192068919385,8.435296520087775
0.010101010101010102,present_serial_warning,0,NA,NA,1,0.010101010101010102,present_serial_warning,7.5187029155842,0.3372192260936256,6.9312133365598125,8.2053745513376
0.020202020202020204,absent_sequential_no warning,0,NA,NA,1,0.020202020202020204,absent_sequential_no warning,7.933580986287971,0.24787096483034385,7.4061833148277385,8.362585603850228
0.020202020202020204,absent_sequential_warning,0,NA,NA,1,0.020202020202020204,absent_sequential_warning,7.992774832749696,0.3010365283688038,7.319060366497678,8.491263687755831
0.020202020202020204,absent_serial_no warning,0,NA,NA,1,0.020202020202020204,absent_serial_no warning,7.8807903174456335,0.3404237312345503,7.225971122360862,8.412264894723066
0.020202020202020204,absent_serial_warning,0,NA,NA,1,0.020202020202020204,absent_serial_warning,7.748927540487685,0.35155976062826905,7.1155584924699555,8.347325334255006
0.020202020202020204,present_sequential_no warning,0,NA,NA,1,0.020202020202020204,present_sequential_no warning,8.00634486781734,0.31970912054519424,7.27829772529703,8.529760275958354
0.020202020202020204,present_sequential_warning,0,NA,NA,1,0.020202020202020204,present_sequential_warning,8.062380144955643,0.29675256317728627,7.360176970976666,8.55695720159025
0.020202020202020204,present_serial_no warning,0,NA,NA,1,0.020202020202020204,present_serial_no warning,7.860867532136187,0.3609608151179619,7.1547309064806965,8.436877678066793
0.020202020202020204,present_serial_warning,0,NA,NA,1,0.020202020202020204,present_serial_warning,7.5223648538732695,0.3372220195890265,6.933760055720144,8.209527685884925
0.030303030303030304,absent_sequential_no warning,0,NA,NA,1,0.030303030303030304,absent_sequential_no warning,7.936697289967569,0.2473799612140184,7.409575502219086,8.365857348877753
0.030303030303030304,absent_sequential_warning,0,NA,NA,1,0.030303030303030304,absent_sequential_warning,7.994529457677158,0.3007500130878307,7.321581983390315,8.491800382178177
0.030303030303030304,absent_serial_no warning,0,NA,NA,1,0.030303030303030304,absent_serial_no warning,7.883677223981545,0.33944439840088375,7.227984179748164,8.413275336629674
0.030303030303030304,absent_serial_warning,0,NA,NA,1,0.030303030303030304,absent_serial_warning,7.75096390648098,0.35158905887509995,7.116499802080936,8.348041901851904
0.030303030303030304,present_sequential_no warning,0,NA,NA,1,0.030303030303030304,present_sequential_no warning,8.008236400653693,0.3182577965411649,7.279927764196405,8.53054481329177
0.030303030303030304,present_sequential_warning,0,NA,NA,1,0.030303030303030304,present_sequential_warning,8.065707977942644,0.29496638760075056,7.362573167589992,8.55842658143654
0.030303030303030304,present_serial_no warning,0,NA,NA,1,0.030303030303030304,present_serial_no warning,7.864296532932133,0.35889271655167515,7.158212553815221,8.437796099169477
0.030303030303030304,present_serial_warning,0,NA,NA,1,0.030303030303030304,present_serial_warning,7.526061027407768,0.3371961137604314,6.936369318922748,8.212741722026946
0.04040404040404041,absent_sequential_no warning,0,NA,NA,1,0.04040404040404041,absent_sequential_no warning,7.939545661539432,0.24635745290768013,7.412395046698644,8.36808501377839
0.04040404040404041,absent_sequential_warning,0,NA,NA,1,0.04040404040404041,absent_sequential_warning,7.996873912004877,0.30055486706622847,7.322970330270007,8.492816109109187
0.04040404040404041,absent_serial_no warning,0,NA,NA,1,0.04040404040404041,absent_serial_no warning,7.886715379008577,0.33857729224663363,7.231080512627335,8.415325175062316
