acc,FaceAbility,conf,lineup,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0,-0.89,0,NA,1,0,-0.89,7.362938257424021,0.1732775453059847,7.0480727094054165,7.883958515175753
0,0,0,NA,1,0,0,7.480707480779255,0.2018036539516799,7.13883981792189,7.9884244134602636
0,0.88,0,NA,1,0,0.88,7.704471955113588,0.3405848549544505,7.190057106513736,8.263359957469763
0.010101010101010102,-0.89,0,NA,1,0.010101010101010102,-0.89,7.365379400204161,0.17418929688707108,7.050752643631727,7.888828504334639
0.010101010101010102,0,0,NA,1,0.010101010101010102,0,7.485320863617831,0.20378017701882079,7.141712521528598,7.9932606205156205
0.010101010101010102,0.88,0,NA,1,0.010101010101010102,0.88,7.711052302982663,0.34030129781536567,7.19312857763765,8.265454323225928
0.020202020202020204,-0.89,0,NA,1,0.020202020202020204,-0.89,7.367972363153386,0.17522694270047948,7.05246838581265,7.895204244897105
0.020202020202020204,0,0,NA,1,0.020202020202020204,0,7.4898171655798755,0.2055505746425296,7.144160900531077,7.998584062166723
0.020202020202020204,0.88,0,NA,1,0.020202020202020204,0.88,7.717096596024092,0.33976355698935334,7.1963631715277465,8.266813691343868
0.030303030303030304,-0.89,0,NA,1,0.030303030303030304,-0.89,7.370390325041824,0.17639001578045677,7.054971152015123,7.901223542470738
0.030303030303030304,0,0,NA,1,0.030303030303030304,0,7.494740035057149,0.20721995864585266,7.146825598918378,8.003051487205527
0.030303030303030304,0.88,0,NA,1,0.030303030303030304,0.88,7.723006218429388,0.34064159177693354,7.19936091586578,8.268485557992145
0.04040404040404041,-0.89,0,NA,1,0.04040404040404041,-0.89,7.373227331510302,0.17752413826167762,7.056209084854234,7.905595370781523
0.04040404040404041,0,0,NA,1,0.04040404040404041,0,7.499531015962706,0.20930101884409108,7.149412429738876,8.00867910579097
0.04040404040404041,0.88,0,NA,1,0.04040404040404041,0.88,7.7291112637528006,0.34093220875784236,7.201931649565032,8.271471590810311
0.05050505050505051,-0.89,0,NA,1,0.05050505050505051,-0.89,7.375859778882257,0.17901206840459347,7.058061381708465,7.911552574145001
0.05050505050505051,0,0,NA,1,0.05050505050505051,0,7.504456747143127,0.2118065625189233,7.151948979352421,8.013765704196446
0.05050505050505051,0.88,0,NA,1,0.05050505050505051,0.88,7.735852190127812,0.3410454690131104,7.204706207095466,8.273615279092382
0.06060606060606061,-0.89,0,NA,1,0.06060606060606061,-0.89,7.379033223021575,0.18033302261877668,7.059959996790572,7.917712875753545
0.06060606060606061,0,0,NA,1,0.06060606060606061,0,7.5093439502028225,0.21422861527394618,7.15503164375747,8.019436743550507
0.06060606060606061,0.88,0,NA,1,0.06060606060606061,0.88,7.742705425600448,0.3412887654834668,7.2077364371784745,8.276316755776907
0.07070707070707072,-0.89,0,NA,1,0.07070707070707072,-0.89,7.381873526567309,0.18145332465174394,7.0617596183986295,7.923928520594232
0.07070707070707072,0,0,NA,1,0.07070707070707072,0,7.514148861266058,0.21585482695885924,7.157968143866606,8.025271757802656
0.07070707070707072,0.88,0,NA,1,0.07070707070707072,0.88,7.749029266715494,0.34095686767837313,7.210049914493337,8.278537764824598
0.08080808080808081,-0.89,0,NA,1,0.08080808080808081,-0.89,7.3849391469861745,0.18278181139099312,7.064017986419145,7.93065087532027
0.08080808080808081,0,0,NA,1,0.08080808080808081,0,7.519246251030674,0.21831554710704842,7.160812318297282,8.030539481876806
0.08080808080808081,0.88,0,NA,1,0.08080808080808081,0.88,7.754989914666156,0.34104424369589137,7.212630530359175,8.280906905226322
0.09090909090909091,-0.89,0,NA,1,0.09090909090909091,-0.89,7.388293812912275,0.18437933264181636,7.065244307903693,7.936854097540603
0.09090909090909091,0,0,NA,1,0.09090909090909091,0,7.524518415609259,0.22009674065717189,7.163758354826231,8.03654895106782
0.09090909090909091,0.88,0,NA,1,0.09090909090909091,0.88,7.761260344337394,0.3406750243959233,7.2154511463526365,8.283426673897278
0.10101010101010102,-0.89,0,NA,1,0.10101010101010102,-0.89,7.391522806258067,0.1860517148258403,7.066771892889596,7.945852392513091
0.10101010101010102,0,0,NA,1,0.10101010101010102,0,7.529956418454788,0.22226234713429835,7.166212794966791,8.042066691978265
0.10101010101010102,0.88,0,NA,1,0.10101010101010102,0.88,7.7675842788566145,0.34084603253414814,7.218409623383666,8.285462099387143
0.11111111111111112,-0.89,0,NA,1,0.11111111111111112,-0.89,7.3950299756607745,0.1877263378346259,7.067571722630388,7.952364205440628
0.11111111111111112,0,0,NA,1,0.11111111111111112,0,7.535409735002071,0.2246971242728143,7.168811425217613,8.04723995228851
0.11111111111111112,0.88,0,NA,1,0.11111111111111112,0.88,7.77363893659879,0.34080988593987627,7.22115014803687,8.288139459954794
0.12121212121212122,-0.89,0,NA,1,0.12121212121212122,-0.89,7.39853988178041,0.18946926345861828,7.069239418900576,7.958251991335223
0.12121212121212122,0,0,NA,1,0.12121212121212122,0,7.540162667964005,0.2274235337074413,7.170864769905601,8.051661051956078
0.12121212121212122,0.88,0,NA,1,0.12121212121212122,0.88,7.779133004587724,0.34078329533296614,7.223344541178003,8.290920176464091
0.13131313131313133,-0.89,0,NA,1,0.13131313131313133,-0.89,7.401988642309988,0.19156862184464546,7.07146908530772,7.965336586193105
0.13131313131313133,0,0,NA,1,0.13131313131313133,0,7.545107449912812,0.22919897279072757,7.173056062546846,8.059087319738177
0.13131313131313133,0.88,0,NA,1,0.13131313131313133,0.88,7.785588867544492,0.3403971362414877,7.225145812177565,8.293575783177165
0.14141414141414144,-0.89,0,NA,1,0.14141414141414144,-0.89,7.40522418735164,0.1934603335573146,7.0735621537047315,7.973687369766803
0.14141414141414144,0,0,NA,1,0.14141414141414144,0,7.550602588325562,0.23130928274854828,7.175211190850075,8.063314099465938
0.14141414141414144,0.88,0,NA,1,0.14141414141414144,0.88,7.792126514053655,0.33970652765533216,7.226849611313286,8.295870001679408
0.15151515151515152,-0.89,0,NA,1,0.15151515151515152,-0.89,7.40849689397346,0.19529468341660303,7.075863258005609,7.981266385552804
