model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1 + responses + TP + corr_response,f_4,0,0,-154.08039782811915,19.95788345413581,6.332299422574623,0.8214269267320383,308.1607956562383,39.91576690827162
1 + responses + corr_response + TP + FA,f_6,-0.8272277811177169,0.5822062974529387,-154.90762560923716,20.02671760274674,7.167565207669773,0.9068103454912326,309.8152512184743,40.05343520549348
1 + responses + corr_response,f_3,-2.36783950716295,2.1572915886042923,-156.44823733528236,18.974114416859962,5.915635224043509,0.7623599079366107,312.8964746705647,37.948228833719924
1 + responses + FA + corr_response,f_5,-3.0615510953393947,2.2696074533367976,-157.14194892345895,19.046796920667752,6.767711637392278,0.8508942664509062,314.2838978469179,38.093593841335505
1 + responses,f_2,-249.17852202059345,22.96499791830919,-403.25891984871083,15.116315820077952,9.962803543638945,1.2856218009508211,806.5178396974217,30.232631640155905
