model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
1 + responses + TP + corr_response,f_4,0,0,-154.04899603994136,20.006471378628532,6.3099749396481855,0.8176502973817009,308.0979920798827,40.012942757257065
1 + responses + corr_response,f_3,-2.364319843448211,2.1421294459453932,-156.41331588338952,19.04618724545665,5.863566227390924,0.7494259422355859,312.82663176677903,38.0923744909133
1 + responses + FA + corr_response,f_5,-3.1414252648103496,2.2909838333623447,-157.1904213047517,19.104518351233736,6.811449130430161,0.859227592977204,314.3808426095034,38.20903670246747
1 + responses,f_2,-249.12402392680164,23.00730287766791,-403.1730199667432,15.13016908947442,9.876023270984353,1.2786673318295416,806.3460399334864,30.26033817894884
1,f_1,-265.25654284142604,20.86132489530327,-419.3055388813675,13.80436144917758,1.0208360036471813,0.045759860823642994,838.611077762735,27.60872289835516
