FaceAbility,acc,lineup,cond__,effect1__,estimate__,se__,lower__,upper__
-2.8260081495251517,0.16458852867830423,NA,1,-2.8260081495251517,0.12300271637938101,0.032285255697447154,0.10003134548697948,0.5386407808084067
-2.785370818999575,0.16458852867830423,NA,1,-2.785370818999575,0.12321484300019286,0.03249264136340314,0.10003436265858572,0.5304914789955296
-2.7447334884739987,0.16458852867830423,NA,1,-2.7447334884739987,0.12346994278190077,0.03271940749410364,0.10003757718251592,0.5220415650218262
-2.704096157948422,0.16458852867830423,NA,1,-2.704096157948422,0.12371473118382743,0.03294833039295156,0.10004076836893684,0.5143061918542776
-2.663458827422846,0.16458852867830423,NA,1,-2.663458827422846,0.12397305405395906,0.03317975918667339,0.10004444351695417,0.5080322188981388
-2.6228214968972696,0.16458852867830423,NA,1,-2.6228214968972696,0.12422707074633642,0.03339105983436212,0.1000489033851801,0.5009700017602831
-2.582184166371693,0.16458852867830423,NA,1,-2.582184166371693,0.12449547851245597,0.033638510059239346,0.10005301023075003,0.4926842590907992
-2.5415468358461166,0.16458852867830423,NA,1,-2.5415468358461166,0.12474135210052674,0.03383459733676585,0.10005776725267083,0.4842035410297879
-2.50090950532054,0.16458852867830423,NA,1,-2.50090950532054,0.12499596231954394,0.03402563984557153,0.10006295452745066,0.4769993688192599
-2.460272174794964,0.16458852867830423,NA,1,-2.460272174794964,0.12529958510115896,0.03426553874129827,0.1000686707606492,0.46909390310344645
-2.4196348442693876,0.16458852867830423,NA,1,-2.4196348442693876,0.12561032777477885,0.034524359444407744,0.10007499925622432,0.4616544411202929
-2.378997513743811,0.16458852867830423,NA,1,-2.378997513743811,0.1258575583989743,0.03466096379682276,0.10008162952967774,0.4523755707661919
-2.3383601832182346,0.16458852867830423,NA,1,-2.3383601832182346,0.12614347681191868,0.034859845647509734,0.10008878011128325,0.4442674453253699
-2.297722852692658,0.16458852867830423,NA,1,-2.297722852692658,0.12641614790470027,0.03502253063951006,0.10009639234369,0.4360373683855858
-2.257085522167082,0.16458852867830423,NA,1,-2.257085522167082,0.12675389842546952,0.035257158309802326,0.10010548044751576,0.429013011428088
-2.216448191641505,0.16458852867830423,NA,1,-2.216448191641505,0.12700758653344096,0.03538168457414802,0.10011478258312687,0.42319002802383043
-2.175810861115929,0.16458852867830423,NA,1,-2.175810861115929,0.12731358525664727,0.03550743306830899,0.10012509640867942,0.41656741180931617
-2.1351735305903525,0.16458852867830423,NA,1,-2.1351735305903525,0.12762891480265243,0.035705254613117965,0.10013646987308925,0.41085145651535115
-2.094536200064776,0.16458852867830423,NA,1,-2.094536200064776,0.12793672520528765,0.035840675517800444,0.10014930407559254,0.40242011901355207
-2.0538988695391995,0.16458852867830423,NA,1,-2.0538988695391995,0.12824999707767953,0.03598749808281586,0.10016333895892854,0.3954371443125896
-2.013261539013623,0.16458852867830423,NA,1,-2.013261539013623,0.12854073833831203,0.0360994090928865,0.10017900203763083,0.3878243289301703
