model,fs,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
0 + responses + TP + corr_response,f_4,0,0,-204.56840074101495,22.151328854167847,6.031168972430215,0.7133095271231547,409.1368014820299,44.302657708335694
0 + responses + corr_response,f_3,-2.053465489303907,1.6266709528822656,-206.62186623031886,21.513772132566906,5.765774090312567,0.718411507604822,413.2437324606377,43.02754426513381
0 + responses + FA + corr_response,f_5,-2.0926637929701375,2.094041908061807,-206.66106453398382,21.49218706963507,6.522824364840983,0.8201990687063633,413.32212906796764,42.98437413927014
0 + responses,f_2,-248.7550690388584,25.025229170478426,-453.32346977987413,18.221330094168316,9.276197858164506,0.533070389565886,906.6469395597483,36.44266018833663
1,f_1,-267.1863925172709,22.831111986149555,-471.7547932582833,17.595212002772584,1.019516060576736,0.051361027911737,943.5095865165666,35.19042400554517
