b_CONDabsent_nowarning,b_CONDabsent_warning,b_CONDpresent_nowarning,b_CONDpresent_warning
-1.5016327573661736,-3.2823805602815708,-2.2121383161641632,-1.4886617277299268
-1.6895526985751086,-2.3359121949152923,-1.4771962799091112,-1.532566220091448
-1.140387494152563,-2.352842541778647,-1.0593055250443635,-2.026476688612479
-0.6372785503278497,-1.6748527955634491,0.39955403000946627,-0.022246159361290978
-1.862354652260529,-3.190238533501222,-2.304175605386561,-1.4619260550661124
-2.9107275719505554,-2.1235868582075863,-1.6419405553696627,-1.6838567099547668
-2.010205262420958,-2.5301303531538433,-2.1915879746503606,-1.9460525182488597
-2.484714157644717,-2.1973263025781167,-1.4433080496534094,-1.0464039557292035
-3.0109024536608593,-2.2906445738811856,-1.89280352382525,-1.4138091782235276
-3.203091985999087,-0.507179827207311,-2.0399641493274423,-0.6194538034886573
-2.942719282818181,-1.40621357060838,-2.6504073439650764,-1.3414457717020685
-0.6661105685524688,-1.5389854803630425,-0.0796007256348774,-1.4941941222198518
-0.5838433659592648,-2.7806766164680656,-1.488816546959629,-0.7851968707786973
-1.266359663399575,-2.537934045607985,-1.4422908446408194,-2.000903366645775
-1.4455970523545931,-2.9432236297177834,-1.6879717029026184,-1.4446990848744512
-1.7715776566522994,-2.706114940062368,0.2362175458368863,-1.371688292415178
-1.3461664779172224,-2.5132090946193673,0.8347164685381978,-0.9449485711883283
-1.7830315051590147,-3.695491116372672,-2.660570244360208,-0.8535515527538946
-2.380502702198843,-4.011393909331981,-1.9977207060659203,-1.4771026458525638
-2.415263210871404,-2.9120444937640233,-1.7990829353852977,-1.0571893691819974
-0.803669176097806,-3.554324382569925,-1.0539121699083527,-1.4263700727334288
-0.23445503286269503,-2.7526030734724913,0.016591719995171506,-0.4955191812227055
-1.6123114664689755,0.459201012226935,-0.9138264962680104,-0.3426520952730323
0.8425213862480755,-0.5376027200623344,0.6531012168412805,0.2671839460111654
-0.5288129754477023,-1.9339858269876293,0.31160639789232647,-0.39908654322847203
-1.4422709562088496,-3.6671257632133054,-1.4944163798369272,-2.4221965010020576
-1.5220615664626431,-2.005921368301606,-1.6021327652308681,-1.7914725421810775
-0.6859739811464193,-1.6409813289930446,-1.0221746341740292,-0.4921515275087494
-1.901213969173063,-0.705225016096635,-0.37046580693831116,0.18014781106942862
-1.2091695544491103,-2.6071370158455136,-0.22928747267556918,-0.950634339786206
-1.7036767009897433,-0.470490856629722,-1.9069427893707855,-0.6552105261187755
-1.391700103196505,-4.152879174906116,-1.2471482195733457,-1.8329311464062474
-1.8336245586111668,-0.26729513428942203,-1.6923375676926056,-2.727137508202797
