b_CONDabsent_nowarning,b_CONDabsent_warning,b_CONDpresent_nowarning,b_CONDpresent_warning
-2.6584362179036547,-0.8504374319414029,-0.6667503121875344,-1.1286812170349207
-5.978961852459691,-1.99948973840195,-1.0623867386442942,-0.5172513933127691
-3.939249783284959,-1.6272868667452207,0.35880236894363055,-2.055346560365298
-4.248715515102415,-1.6859115464437915,0.24576742049495204,-1.922633708619424
-3.652690713880032,-1.3175147268369543,-0.6059476326936789,0.1277705406838861
-3.331072747440266,-2.801693942488928,-0.461311778206997,-0.10264872030927213
-2.698226754090329,-1.4518048368828738,0.2192784575702058,-1.3996595508218226
-3.989081883930556,-0.7858336794986849,-0.13581019270884312,-1.7279585106103614
-2.049478204490071,-0.4348551960113365,-0.09589548073240409,0.3551875954917005
-2.6763496252598014,-1.3989516984041959,0.20957045642800237,-0.9076749180453668
-3.692443292637219,-0.6614566576256624,-0.6329865855741262,-0.8594697539151104
-5.05948240134808,-1.6852623510641431,-0.6186851346193364,-0.3964576980339215
-2.3491869912270755,-3.312560538510134,-0.6863822034387137,-0.7586912020456802
-2.7138199977629642,-2.516916263746053,-0.7490882491259272,-0.4050433801205552
-3.2140048776689834,-2.565261360383099,-0.9853057251958575,-1.1923599682838977
-3.9141709318773494,-0.8838186083221323,-0.6486852098979647,-1.5086820246899029
-4.6888669298964425,-0.7112139758227816,-0.5399796256238382,-1.2480783597729934
-2.4105402615603806,-1.967455118283214,-0.6962236384693912,-1.3192046862140023
-4.639694157586554,-0.9642186822542252,0.21595866742098063,-0.13351702604336435
-1.9141680629048352,-2.2495723182826994,0.09317878309082175,-0.30722275377752484
-4.621694420587585,-1.7296149534730094,0.1305957725514723,-0.6323221217021772
-6.680587509937577,-2.486925790860994,-1.5741872475863932,-1.111275477135455
-1.830772924443681,-2.0036328545533038,0.7215177103564898,-0.8625110354984371
-0.6256071678042134,-0.8299683227199306,2.2815988938555454,-0.2173830574262925
-2.8921187415306275,-1.8928627468204582,1.2058171780028157,-0.40598233838060804
-3.219041084886831,-2.488488902295821,-0.5936890317034136,0.802167951517505
-3.8863311001020633,-2.0525194303738155,-0.04155241317864994,-1.1415124280018858
-2.493859950733939,-2.236458786308764,-0.2072215502304797,-0.6983417910322245
-7.043700040755845,-1.8618416322103264,-0.4747511037958476,-1.4776797096347825
-2.2601087638618833,-0.8433145814273055,-1.046489180977151,-1.1112724544543315
-3.172822736243755,-2.1841328591881446,-0.20142424160812245,-0.16629370723955658
-4.262965423006269,0.9714165434533852,-0.03135671627150091,-2.107069344891522
-5.21632913619096,-2.1795205552800963,-0.13570606840345018,-0.021700391638962025
-1.7933687429722676,-1.4456593645004407,-0.1554499610054432,-1.9475318199832525
-5.40347231868498,-1.820996892460332,0.4563262784985699,-1.338569628026427
-3.046445457754575,-1.3194583256960912,0.1263363546678456,-0.6247355336980639
-2.711377997304866,-1.406148742429596,-0.5790535155698591,-1.183493723186527
-3.697344083051018,-0.7806304337573232,-2.4643906347457096,0.34615137028254345
-2.1487585867913173,-0.4900048662770238,2.1782785566314184,0.11536100655971783
-3.5636367289767534,-1.4926115830382785,-2.7756667484426503,-1.059303199498651
-2.286227251701164,-1.4881576413457351,0.6938837464850881,-0.43882422704984164
-2.760919918458313,-1.6697225370953332,0.2825574653784928,-0.8589048148279826
-2.8232170212075465,-1.068888886548146,-0.33800816304892783,-0.32531353871394325
-3.0441641918471944,-2.909549922711371,0.36498923683299833,-1.0165292528718104
-3.2983243340709016,-2.428355198558857,-0.6508251465671091,-1.356894609409014
-2.3854228502439905,-2.318343411880069,0.4544126293364763,-0.26582250762050724
-3.099313250232748,-2.922769310544944,0.1302116753551795,-0.8949333518746506
-3.182338168792153,-2.44872953560645,-0.5765474333793639,-0.8069269463586961
-3.1056853521510983,-0.871404932144766,-0.6020198266589244,0.11189506184588417
-5.269169036302815,-2.2195336807341475,-0.9133322558112636,-1.192033479156558
-3.5864600082149143,-0.6884495397843831,-1.4490168516631206,-2.9119947355411604
-3.3971762295960493,-2.0352962707195887,-2.218765439493544,-1.9911980169998451
-4.396459477142794,-1.3827338851420767,-1.4032278166038579,-2.8788357244644613
-2.8126158586188956,-2.690540260365541,-2.213451219912237,-2.8060950832640517
