acc,COND,conf,COND2,lineup,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
0,absent_sequential_no warning,0,NA,NA,1,0,absent_sequential_no warning,7.5443805466393705,0.28079943188919343,7.081047716238675,8.048917995308006
0,absent_sequential_warning,0,NA,NA,1,0,absent_sequential_warning,7.8666628602878825,0.29324359885103457,7.160278963522186,8.301077002242765
0,absent_serial_no warning,0,NA,NA,1,0,absent_serial_no warning,7.522116798454285,0.40371048884769883,7.003909889233737,8.158529262234948
0,absent_serial_warning,0,NA,NA,1,0,absent_serial_warning,7.331405997309014,0.2786480510742905,6.861474105539069,8.015716172246066
0,present_sequential_no warning,0,NA,NA,1,0,present_sequential_no warning,7.742130187617764,0.3811065693971035,7.056374790504607,8.258993160222547
0,present_sequential_warning,0,NA,NA,1,0,present_sequential_warning,7.808871073019474,0.36339784476334497,7.0942435386692795,8.263806718962353
0,present_serial_no warning,0,NA,NA,1,0,present_serial_no warning,7.48386851173969,0.3668551775845537,6.955249773683683,8.153953817522305
0,present_serial_warning,0,NA,NA,1,0,present_serial_warning,7.226773030015027,0.24460837009014075,6.767454293935684,7.880258425399975
0.010101010101010102,absent_sequential_no warning,0,NA,NA,1,0.010101010101010102,absent_sequential_no warning,7.5503885330586975,0.281793525922394,7.084212610606457,8.052522663962456
0.010101010101010102,absent_sequential_warning,0,NA,NA,1,0.010101010101010102,absent_sequential_warning,7.870337758777968,0.29057468987104196,7.162792753955481,8.302466992918482
0.010101010101010102,absent_serial_no warning,0,NA,NA,1,0.010101010101010102,absent_serial_no warning,7.528140380868687,0.4059468768712577,7.005190904132126,8.160446289802493
0.010101010101010102,absent_serial_warning,0,NA,NA,1,0.010101010101010102,absent_serial_warning,7.3340728785328775,0.27974776186203415,6.862979661058407,8.01705087372847
0.010101010101010102,present_sequential_no warning,0,NA,NA,1,0.010101010101010102,present_sequential_no warning,7.7477011401248195,0.37876907756250877,7.059548394970874,8.260217896155948
0.010101010101010102,present_sequential_warning,0,NA,NA,1,0.010101010101010102,present_sequential_warning,7.813178437896294,0.36037663771145056,7.097807960045641,8.265528754898714
0.010101010101010102,present_serial_no warning,0,NA,NA,1,0.010101010101010102,present_serial_no warning,7.490708598231829,0.36832551035088024,6.957865135194595,8.156237683416325
0.010101010101010102,present_serial_warning,0,NA,NA,1,0.010101010101010102,present_serial_warning,7.23088873286248,0.24526684463927345,6.770184344377638,7.887537007656985
0.020202020202020204,absent_sequential_no warning,0,NA,NA,1,0.020202020202020204,absent_sequential_no warning,7.557018151612918,0.28244970136154834,7.087576252262272,8.055698536840922
0.020202020202020204,absent_sequential_warning,0,NA,NA,1,0.020202020202020204,absent_sequential_warning,7.874365453018756,0.2882257281262117,7.1652763477487245,8.304233648087683
0.020202020202020204,absent_serial_no warning,0,NA,NA,1,0.020202020202020204,absent_serial_no warning,7.533799240749279,0.40871347949925346,7.0076555123157895,8.161607238665578
0.020202020202020204,absent_serial_warning,0,NA,NA,1,0.020202020202020204,absent_serial_warning,7.336646597472749,0.28097325709722115,6.864233675087518,8.019196624066604
0.020202020202020204,present_sequential_no warning,0,NA,NA,1,0.020202020202020204,present_sequential_no warning,7.75281106262357,0.37708144658139603,7.062194584622393,8.262411866307572
0.020202020202020204,present_sequential_warning,0,NA,NA,1,0.020202020202020204,present_sequential_warning,7.818710908106038,0.35587248951447237,7.10101124155971,8.266611201165839
0.020202020202020204,present_serial_no warning,0,NA,NA,1,0.020202020202020204,present_serial_no warning,7.498630034738116,0.3698927960570456,6.9619011419513255,8.159324715437027
0.020202020202020204,present_serial_warning,0,NA,NA,1,0.020202020202020204,present_serial_warning,7.2343589836148094,0.24602766083895208,6.774028553238992,7.8918503469905845
0.030303030303030304,absent_sequential_no warning,0,NA,NA,1,0.030303030303030304,absent_sequential_no warning,7.5634341557674,0.2833865107938152,7.09196702110471,8.06036655063227
0.030303030303030304,absent_sequential_warning,0,NA,NA,1,0.030303030303030304,absent_sequential_warning,7.877811672394948,0.2856393842709227,7.168402162723101,8.306551303161577
0.030303030303030304,absent_serial_no warning,0,NA,NA,1,0.030303030303030304,absent_serial_no warning,7.540681042735946,0.4101752020673862,7.009151196363517,8.162976200712343
0.030303030303030304,absent_serial_warning,0,NA,NA,1,0.030303030303030304,absent_serial_warning,7.338880653451764,0.2825451010462695,6.865253260325325,8.0209240473126
0.030303030303030304,present_sequential_no warning,0,NA,NA,1,0.030303030303030304,present_sequential_no warning,7.757824357528033,0.37518314497563,7.065256165665096,8.26344495276263
0.030303030303030304,present_sequential_warning,0,NA,NA,1,0.030303030303030304,present_sequential_warning,7.823817739466431,0.3514343314805349,7.103786104494883,8.268786297874723
0.030303030303030304,present_serial_no warning,0,NA,NA,1,0.030303030303030304,present_serial_no warning,7.505333888752277,0.37067187180967687,6.965466826008435,8.162327033054996
0.030303030303030304,present_serial_warning,0,NA,NA,1,0.030303030303030304,present_serial_warning,7.238031755582531,0.24685990739895453,6.777014968489315,7.897406256075111
0.04040404040404041,absent_sequential_no warning,0,NA,NA,1,0.04040404040404041,absent_sequential_no warning,7.569429642436756,0.28294861839378355,7.095257272857342,8.064459733316616
0.04040404040404041,absent_sequential_warning,0,NA,NA,1,0.04040404040404041,absent_sequential_warning,7.881228231589423,0.28356161519060097,7.16933461642547,8.308822282122579
0.04040404040404041,absent_serial_no warning,0,NA,NA,1,0.04040404040404041,absent_serial_no warning,7.547360214557903,0.4122651365298171,7.011327855541379,8.164872739960098
