responses,TP,n,cond__,effect1__,effect2__,estimate__,se__,lower__,upper__
2.5454545454545454,absent,11.176470588235293,1,2.5454545454545454,absent,16.395756050064616,3.8356049195593465,10.164002509493322,25.651352706314388
2.5454545454545454,present,11.176470588235293,1,2.5454545454545454,present,14.944994926808029,2.7297604192767775,9.987480446108796,21.35479112531417
2.6363636363636367,absent,11.176470588235293,1,2.6363636363636367,absent,16.026078570637395,3.697896966416939,10.002637910619436,25.06533027806557
2.6363636363636367,present,11.176470588235293,1,2.6363636363636367,present,14.754241410789597,2.668313002568918,9.901473809359397,21.007511807097227
2.7272727272727275,absent,11.176470588235293,1,2.7272727272727275,absent,15.66698158699473,3.577665529730966,9.859905903526025,24.46442878675786
2.7272727272727275,present,11.176470588235293,1,2.7272727272727275,present,14.55947702781069,2.619894253414207,9.810965217881233,20.679429324451114
2.8181818181818183,absent,11.176470588235293,1,2.8181818181818183,absent,15.320581057955131,3.4544188227584187,9.700271079170689,23.84434468573602
2.8181818181818183,present,11.176470588235293,1,2.8181818181818183,present,14.370867836995703,2.562423291306758,9.72477638081006,20.354444584673647
2.909090909090909,absent,11.176470588235293,1,2.909090909090909,absent,14.969753587262499,3.3228137353335123,9.554752141579767,23.20796700651136
2.909090909090909,present,11.176470588235293,1,2.909090909090909,present,14.176733925078555,2.51013740734308,9.639902377754282,20.023405236039228
3,absent,11.176470588235293,1,3,absent,14.630496355869688,3.1950866738544583,9.390522100833223,22.610629751756978
3,present,11.176470588235293,1,3,present,13.988390418176461,2.4555372879092316,9.5434656038136,19.72160558496966
3.090909090909091,absent,11.176470588235293,1,3.090909090909091,absent,14.29989940536196,3.0788682442169195,9.23716674178018,22.017170681582243
3.090909090909091,present,11.176470588235293,1,3.090909090909091,present,13.808997352200677,2.405314681836433,9.443134339661752,19.440036258539326
3.1818181818181817,absent,11.176470588235293,1,3.1818181818181817,absent,13.97283978363441,2.979115251457343,9.076787598316283,21.425052910991774
3.1818181818181817,present,11.176470588235293,1,3.1818181818181817,present,13.62503376936157,2.356645829331373,9.343597740991331,19.130289559688833
3.272727272727273,absent,11.176470588235293,1,3.272727272727273,absent,13.650612629047387,2.8679502342772665,8.932846654837165,20.832552312290108
3.272727272727273,present,11.176470588235293,1,3.272727272727273,present,13.448588766591529,2.3094399455925956,9.239821231633558,18.828881834412627
3.3636363636363638,absent,11.176470588235293,1,3.3636363636363638,absent,13.32688391780583,2.765566364906033,8.772338214561954,20.26899652429378
3.3636363636363638,present,11.176470588235293,1,3.3636363636363638,present,13.27238051316162,2.2693201943650685,9.140767982036246,18.55133902077902
3.4545454545454546,absent,11.176470588235293,1,3.4545454545454546,absent,13.013398253790964,2.6645342173711613,8.610161927156895,19.725033662573157
3.4545454545454546,present,11.176470588235293,1,3.4545454545454546,present,13.098333997118079,2.2285212889354935,9.036544539750109,18.24894409394289
3.5454545454545454,absent,11.176470588235293,1,3.5454545454545454,absent,12.709447304428132,2.5685220083255427,8.438737527092272,19.19726072952453
3.5454545454545454,present,11.176470588235293,1,3.5454545454545454,present,12.919029408105175,2.182750559990039,8.935789297261218,17.970746573327176
3.6363636363636362,absent,11.176470588235293,1,3.6363636363636362,absent,12.402718071726483,2.4875756036756904,8.27117031252921,18.66302002995532
3.6363636363636362,present,11.176470588235293,1,3.6363636363636362,present,12.738599042335442,2.1381387606583604,8.829444359165414,17.67882128609074
3.7272727272727275,absent,11.176470588235293,1,3.7272727272727275,absent,12.108042440993078,2.4084519655816923,8.113375198959275,18.154796738468193
3.7272727272727275,present,11.176470588235293,1,3.7272727272727275,present,12.565256238857565,2.098841552038692,8.722119681955942,17.409773256792462
3.8181818181818183,absent,11.176470588235293,1,3.8181818181818183,absent,11.821621740612018,2.3329245887508345,7.949005647201942,17.665030650161462
3.8181818181818183,present,11.176470588235293,1,3.8181818181818183,present,12.397381956530891,2.0587458086355706,8.618168020161898,17.143979000555493
3.909090909090909,absent,11.176470588235293,1,3.909090909090909,absent,11.537533006588177,2.2591984004614942,7.779145724331894,17.189500901756674
3.909090909090909,present,11.176470588235293,1,3.909090909090909,present,12.23078858806213,2.0231206819315894,8.519123780162447,16.89538189123648
4,absent,11.176470588235293,1,4,absent,11.2617415871247,2.1867380953040745,7.6074914602758525,16.738191589828233
4,present,11.176470588235293,1,4,present,12.066880754337102,1.9911108347883835,8.424707380626977,16.65421939492799
4.090909090909091,absent,11.176470588235293,1,4.090909090909091,absent,10.987331046091604,2.1204061249317734,7.429667698373827,16.31716917833889
4.090909090909091,present,11.176470588235293,1,4.090909090909091,present,11.900671636173909,1.9546225625486322,8.317429174752993,16.40216110299176
4.181818181818182,absent,11.176470588235293,1,4.181818181818182,absent,10.716597136514558,2.0639022150958035,7.2625862326261474,15.887794194657552
4.181818181818182,present,11.176470588235293,1,4.181818181818182,present,11.74003581793491,1.9257558685606206,8.212060928217113,16.160352831610997
4.272727272727273,absent,11.176470588235293,1,4.272727272727273,absent,10.457089830013732,2.0106292308971674,7.075637358698858,15.458851904468531
4.272727272727273,present,11.176470588235293,1,4.272727272727273,present,11.577464349736392,1.9020574789669122,8.102197726406319,15.923055883094701
4.363636363636363,absent,11.176470588235293,1,4.363636363636363,absent,10.196620690457777,1.9650030327151717,6.8855624429674505,15.042033096335539
4.363636363636363,present,11.176470588235293,1,4.363636363636363,present,11.414331005511745,1.8777240219301083,7.996934922835312,15.696820675783433
4.454545454545455,absent,11.176470588235293,1,4.454545454545455,absent,9.939521339916212,1.9228535991143059,6.695816591518582,14.661534260155983
4.454545454545455,present,11.176470588235293,1,4.454545454545455,present,11.257925959198722,1.8548543986156474,7.892399393694857,15.494017720657608
4.545454545454545,absent,11.176470588235293,1,4.545454545454545,absent,9.684552844326063,1.8844743396162846,6.512801804946863,14.302049643707969
4.545454545454545,present,11.176470588235293,1,4.545454545454545,present,11.105868124633584,1.8274356171833952,7.761883328520261,15.279124167362744
